StartTime,MeanTime,Group,Summary
1343434208,1343440922,1382,So excited to watch #Olympics with my kids. My daughter is most excited about #gymnastics. http://t.co/vZTmGhho
1343434206,1343440949,1383,Can't wait for women's gymnastics to start! #London2012 #USA 🇺🇸
1343434179,1343440985,1384,RT @LAStanch: I can't wait to watch gymnastics!!! #olympics #badbitches 👍
1343434142,1343440986,1385,RT @CarleyPeca: Enough with soccer I want to see gymnastics. #Olympics #gymnasticskindagirl
1343434113,1343440989,1386,RT @AAinsworthNBC: Who else can't wait for gymnastics to begin tomorrow!? #london2012 #gymnastics
1343434097,1343441061,1387,Sooo excited to watch @TeamGB @BGMediaTeam gymnastics in #london2012 but first to watch the #openingceremony 😊🇬🇧
1343434088,1343441082,1388,RT @jackiecolvett: Watching gymnastics videos from pervious Olympics. Can't wait for it to start! #London2012
1343434082,1343441121,1389,New #olympics drinking game: anything said that can describe an unfortunate sexual encounter. I will be drunk during the men's gymnastics.
1343434080,1343441128,1390,Poor McKayla Maroney! She has a broken toe (reminds me of Kerri Strug ankle issue). God luck McKayla! #Olympics #gymnastics
1343434073,1343441132,1391,RT @Tasha_Surry: Can't wait for the gymnastics at the Olympics #London2012 @BGMediaTeam
1343434067,1343441141,1392,My mate's gf: 'I'm really looking forward to going to the gymnastics. Esp the men's rings the uneven bars and the pole vault.' #London2012
1343434058,1343441144,1393,RT @VivaClairizzy: #Olympics opening ceremony today!! ..I wanna watch the gymnastics. Shits awesome
1343434045,1343441152,1394,RT @mizzlexa: Can't wait for women's gymnastics to start! #London2012 #USA 🇺🇸
1343434024,1343441163,1395,RT @FarahFA_: Can't wait for gymnastics track & field swimming and soccer to start #Olympics
1343434023,1343441205,1396,If I miss any of the gymnastics on the #Olympics because of work... 😡 you don't even want to know.
1343434007,1343441205,1397,RT @CarleyPeca: Enough with soccer I want to see gymnastics. #Olympics #gymnasticskindagirl
1343433989,1343441218,1398,not really in to sport but looking forward to #olympics love athletics gymnastics and swimming
1343433985,1343441301,1399,RT @taylordouglas73: So excited for the #olympics #gymnastics #diving
1343433975,1343441316,1400,RT @LauraBrass94: Seriously can't wait for the gymnastics!! @BGMediaTeam #London2012 @TeamGB #ourgreatestteam
1343433948,1343441322,1401,RT @jackiecolvett: Watching gymnastics videos from pervious Olympics. Can't wait for it to start! #London2012
1343433942,1343441328,1402,- i just wanna see volleyball gymnastics swimming and track & field. #Olympics2012
1343433937,1343441330,1403,#Exxcel gymnastics camp. Where it all began cc @Aly_Raisman #Needham #Olympics http://t.co/F6lollRs
1343433930,1343441359,1404,The opening ceremony closing ceremony and the gymnastics :D #Olympics
1343433926,1343441360,1405,Can't wait for the rhythmic gymnastics and synchronized swimming #Olympics #London2012
1343433923,1343441371,1406,No better time to have DVR than when the Olympics are here!! #stoked #london2012 #gymnastics
1343433918,1343441390,1407,I think this is everyday in my house! RT @tailsmagazines: If only the 2012 #Olympics had kitty gymnastics! http://t.co/RTNhPXvc
1343433907,1343441398,1408,RT @PaigeWhibbs: Diving gymnastics and men's swimming. #Olympics
